2025-10-22 18:30:51.339; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:51.342; INFO; AC_FDSPlugIn; 16056; 19924] CallLibrary Start
2025-10-22 18:30:51.342; INFO; AC_FDSPlugIn; 16056; 19924] CallLibrary End
2025-10-22 18:30:53.843; INFO; Loopback Stream; 16056; 9004] CallLibrary Start
2025-10-22 18:30:53.843; INFO; Loopback Stream; 16056; 9004] CallLibrary End
2025-10-22 18:31:01.755; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=4e0a10, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:31:01.757; INFO; AC_FDSPlugIn; 16056; 6460] CallLibrary Start
2025-10-22 18:31:01.758; INFO; AC_FDSPlugIn; 16056; 6460] CallLibrary End
2025-10-22 18:31:04.047; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:31:04.049; INFO; AC_FDSPlugIn; 16056; 27212] CallLibrary Start
2025-10-22 18:31:04.049; INFO; AC_FDSPlugIn; 16056; 27212] CallLibrary End
2025-10-22 18:31:23.847; INFO; Loopback Stream; 16056; 15256] CallLibrary Start
2025-10-22 18:31:23.848; INFO; Loopback Stream; 16056; 15256] CallLibrary End
2025-10-22 18:31:24.580; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=2803d2, pid=24924, type=WIN32, path=C:\Program Files\Google\Chrome\Application\chrome.exe, origin_path=C:\Program Files\Google\Chrome\Application\chrome.exe
2025-10-22 18:31:24.583; INFO; AC_FDSPlugIn; 16056; 14452] CallLibrary Start
2025-10-22 18:31:24.583; INFO; AC_FDSPlugIn; 16056; 14452] CallLibrary End
2025-10-22 18:31:53.861; INFO; Loopback Stream; 16056; 8744] CallLibrary Start
2025-10-22 18:31:53.861; INFO; Loopback Stream; 16056; 8744] CallLibrary End
2025-10-22 18:31:57.686; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:31:57.689; INFO; AC_FDSPlugIn; 16056; 22604] CallLibrary Start
2025-10-22 18:31:57.689; INFO; AC_FDSPlugIn; 16056; 22604] CallLibrary End
2025-10-22 18:32:23.870; INFO; Loopback Stream; 16056; 11584] CallLibrary Start
2025-10-22 18:32:23.870; INFO; Loopback Stream; 16056; 11584] CallLibrary End
2025-10-22 18:32:27.372; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=3ef0960, pid=11916, type=UWP, path=Microsoft.WindowsTerminal_8wekyb3d8bbwe!App, origin_path=C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.12811.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe
2025-10-22 18:32:27.374; INFO; AC_FDSPlugIn; 16056; 14600] CallLibrary Start
2025-10-22 18:32:27.374; INFO; AC_FDSPlugIn; 16056; 14600] CallLibrary End
2025-10-22 18:32:31.559; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:32:31.562; INFO; AC_FDSPlugIn; 16056; 20356] CallLibrary Start
2025-10-22 18:32:31.562; INFO; AC_FDSPlugIn; 16056; 20356] CallLibrary End
2025-10-22 18:32:53.877; INFO; Loopback Stream; 16056; 27676] CallLibrary Start
2025-10-22 18:32:53.877; INFO; Loopback Stream; 16056; 27676] CallLibrary End
2025-10-22 18:33:23.883; INFO; Loopback Stream; 16056; 24444] CallLibrary Start
2025-10-22 18:33:23.883; INFO; Loopback Stream; 16056; 24444] CallLibrary End
2025-10-22 18:33:27.418; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=180264, pid=25476, type=WIN32, path=C:\Windows\explorer.exe, origin_path=C:\Windows\explorer.exe
2025-10-22 18:33:27.421; INFO; AC_FDSPlugIn; 16056; 16656] CallLibrary Start
2025-10-22 18:33:27.421; INFO; AC_FDSPlugIn; 16056; 16656] CallLibrary End
2025-10-22 18:33:50.991; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=5062e, pid=25476, type=WIN32, path=C:\Windows\explorer.exe, origin_path=C:\Windows\explorer.exe
2025-10-22 18:33:50.993; INFO; AC_FDSPlugIn; 16056; 11920] CallLibrary Start
2025-10-22 18:33:50.993; INFO; AC_FDSPlugIn; 16056; 11920] CallLibrary End
